cell	x	y	z	Sw	Sn	P	dSdP
0	0.5	0.5	0.005	0.3	0.3	-1936.99	0.000315216
1	0.5	0.5	0.015	0.3	0.3	-1936.99	0.000315216
2	0.5	0.5	0.025	0.3	0.3	-1936.99	0.000315216
3	0.5	0.5	0.035	0.3	0.3	-1936.99	0.000315216
4	0.5	0.5	0.045	0.3	0.3	-1936.99	0.000315216
5	0.5	0.5	0.055	0.3	0.3	-1936.99	0.000315216
6	0.5	0.5	0.065	0.3	0.3	-1936.99	0.000315216
7	0.5	0.5	0.075	0.3	0.3	-1936.99	0.000315216
8	0.5	0.5	0.085	0.3	0.3	-1936.99	0.000315216
9	0.5	0.5	0.095	0.3	0.3	-1936.99	0.000315216
10	0.5	0.5	0.105	0.3	0.3	-1936.99	0.000315216
11	0.5	0.5	0.115	0.3	0.3	-1936.99	0.000315216
12	0.5	0.5	0.125	0.3	0.3	-1936.99	0.000315216
13	0.5	0.5	0.135	0.3	0.3	-1936.99	0.000315216
14	0.5	0.5	0.145	0.3	0.3	-1936.99	0.000315216
15	0.5	0.5	0.155	0.3	0.3	-1936.99	0.000315216
16	0.5	0.5	0.165	0.3	0.3	-1936.99	0.000315216
17	0.5	0.5	0.175	0.3	0.3	-1936.99	0.000315216
18	0.5	0.5	0.185	0.3	0.3	-1936.99	0.000315216
19	0.5	0.5	0.195	0.3	0.3	-1936.99	0.000315216
20	0.5	0.5	0.205	0.3	0.3	-1936.99	0.000315216
21	0.5	0.5	0.215	0.3	0.3	-1936.99	0.000315216
22	0.5	0.5	0.225	0.3	0.3	-1936.99	0.000315216
23	0.5	0.5	0.235	0.3	0.3	-1936.99	0.000315216
24	0.5	0.5	0.245	0.3	0.3	-1936.99	0.000315216
25	0.5	0.5	0.255	0.3	0.3	-1936.99	0.000315216
26	0.5	0.5	0.265	0.3	0.3	-1936.99	0.000315216
27	0.5	0.5	0.275	0.3	0.3	-1936.99	0.000315216
28	0.5	0.5	0.285	0.3	0.3	-1936.99	0.000315216
29	0.5	0.5	0.295	0.3	0.3	-1936.99	0.000315216
30	0.5	0.5	0.305	0.3	0.3	-1936.99	0.000315216
31	0.5	0.5	0.315	0.3	0.3	-1936.99	0.000315216
32	0.5	0.5	0.325	0.3	0.3	-1936.99	0.000315216
33	0.5	0.5	0.335	0.3	0.3	-1936.99	0.000315216
34	0.5	0.5	0.345	0.3	0.3	-1936.99	0.000315216
35	0.5	0.5	0.355	0.3	0.3	-1936.99	0.000315216
36	0.5	0.5	0.365	0.3	0.3	-1936.99	0.000315216
37	0.5	0.5	0.375	0.3	0.3	-1936.99	0.000315216
38	0.5	0.5	0.385	0.3	0.3	-1936.99	0.000315216
39	0.5	0.5	0.395	0.3	0.3	-1936.99	0.000315216
40	0.5	0.5	0.405	0.3	0.3	-1936.99	0.000315216
41	0.5	0.5	0.415	0.3	0.3	-1936.99	0.000315216
42	0.5	0.5	0.425	0.3	0.3	-1936.99	0.000315216
43	0.5	0.5	0.435	0.3	0.3	-1936.99	0.000315216
44	0.5	0.5	0.445	0.3	0.3	-1936.99	0.000315216
45	0.5	0.5	0.455	0.3	0.3	-1936.99	0.000315216
46	0.5	0.5	0.465	0.3	0.3	-1936.99	0.000315216
47	0.5	0.5	0.475	0.3	0.3	-1936.99	0.000315216
48	0.5	0.5	0.485	0.3	0.3	-1936.99	0.000315216
49	0.5	0.5	0.495	0.3	0.3	-1936.99	0.000315216
50	0.5	0.5	0.505	0.3	0.3	-1936.99	0.000315216
51	0.5	0.5	0.515	0.3	0.3	-1936.99	0.000315216
52	0.5	0.5	0.525	0.3	0.3	-1936.99	0.000315216
53	0.5	0.5	0.535	0.3	0.3	-1936.99	0.000315216
54	0.5	0.5	0.545	0.3	0.3	-1936.99	0.000315216
55	0.5	0.5	0.555	0.3	0.3	-1936.99	0.000315216
56	0.5	0.5	0.565	0.3	0.3	-1936.99	0.000315216
57	0.5	0.5	0.575	0.3	0.3	-1936.99	0.000315216
58	0.5	0.5	0.585	0.3	0.3	-1936.99	0.000315216
59	0.5	0.5	0.595	0.3	0.3	-1936.99	0.000315216
60	0.5	0.5	0.605	0.3	0.3	-1936.99	0.000315216
61	0.5	0.5	0.615	0.3	0.3	-1936.99	0.000315216
62	0.5	0.5	0.625	0.3	0.3	-1936.99	0.000315216
63	0.5	0.5	0.635	0.3	0.3	-1936.99	0.000315216
64	0.5	0.5	0.645	0.3	0.3	-1936.99	0.000315216
65	0.5	0.5	0.655	0.3	0.3	-1936.99	0.000315216
66	0.5	0.5	0.665	0.3	0.3	-1936.99	0.000315216
67	0.5	0.5	0.675	0.3	0.3	-1936.99	0.000315216
68	0.5	0.5	0.685	0.3	0.3	-1936.99	0.000315216
69	0.5	0.5	0.695	0.3	0.3	-1936.99	0.000315216
70	0.5	0.5	0.705	0.3	0.3	-1936.99	0.000315216
71	0.5	0.5	0.715	0.3	0.3	-1936.99	0.000315216
72	0.5	0.5	0.725	0.3	0.3	-1936.99	0.000315216
73	0.5	0.5	0.735	0.3	0.3	-1936.99	0.000315216
74	0.5	0.5	0.745	0.3	0.3	-1936.99	0.000315216
