connection	cell_1	cell_2	Qw	Qn
0	0	1	-5.51733e-09	-6.72587e-08
1	1	2	-5.51733e-09	-6.72587e-08
2	2	3	-5.51733e-09	-6.72587e-08
3	3	4	-5.51733e-09	-6.72587e-08
4	4	5	-5.51733e-09	-6.72587e-08
5	5	6	-5.51733e-09	-6.72587e-08
6	6	7	-5.51733e-09	-6.72587e-08
7	7	8	-5.51733e-09	-6.72587e-08
8	8	9	-5.51733e-09	-6.72587e-08
9	9	10	-5.51733e-09	-6.72587e-08
10	10	11	-5.51733e-09	-6.72587e-08
11	11	12	-5.51733e-09	-6.72587e-08
12	12	13	-5.51733e-09	-6.72587e-08
13	13	14	-5.51733e-09	-6.72587e-08
14	14	15	-5.51733e-09	-6.72587e-08
15	15	16	-5.51733e-09	-6.72587e-08
16	16	17	-5.51733e-09	-6.72587e-08
17	17	18	-5.51733e-09	-6.72587e-08
18	18	19	-5.51733e-09	-6.72587e-08
19	19	20	-5.51733e-09	-6.72587e-08
20	20	21	-5.51733e-09	-6.72587e-08
21	21	22	-5.51733e-09	-6.72587e-08
22	22	23	-5.51733e-09	-6.72587e-08
23	23	24	-5.51733e-09	-6.72587e-08
24	24	25	-5.51733e-09	-6.72587e-08
25	25	26	-5.51733e-09	-6.72587e-08
26	26	27	-5.51733e-09	-6.72587e-08
27	27	28	-5.51733e-09	-6.72587e-08
28	28	29	-5.51733e-09	-6.72587e-08
29	29	30	-5.51733e-09	-6.72587e-08
30	30	31	-5.51733e-09	-6.72587e-08
31	31	32	-5.51733e-09	-6.72587e-08
32	32	33	-5.51733e-09	-6.72587e-08
33	33	34	-5.51733e-09	-6.72587e-08
34	34	35	-5.51733e-09	-6.72587e-08
35	35	36	-5.51733e-09	-6.72587e-08
36	36	37	-5.51733e-09	-6.72587e-08
37	37	38	-5.51733e-09	-6.72587e-08
38	38	39	-5.51733e-09	-6.72587e-08
39	39	40	-5.51733e-09	-6.72587e-08
40	40	41	-5.51733e-09	-6.72587e-08
41	41	42	-5.51733e-09	-6.72587e-08
42	42	43	-5.51733e-09	-6.72587e-08
43	43	44	-5.51733e-09	-6.72587e-08
44	44	45	-5.51733e-09	-6.72587e-08
45	45	46	-5.51733e-09	-6.72587e-08
46	46	47	-5.51733e-09	-6.72587e-08
47	47	48	-5.51733e-09	-6.72587e-08
48	48	49	-5.51733e-09	-6.72587e-08
49	49	50	-5.51733e-09	-6.72587e-08
50	50	51	-5.51733e-09	-6.72587e-08
51	51	52	-5.51733e-09	-6.72587e-08
52	52	53	-5.51733e-09	-6.72587e-08
53	53	54	-5.51733e-09	-6.72587e-08
54	54	55	-5.51733e-09	-6.72587e-08
55	55	56	-5.51733e-09	-6.72587e-08
56	56	57	-5.51733e-09	-6.72587e-08
57	57	58	-5.51733e-09	-6.72587e-08
58	58	59	-5.51733e-09	-6.72587e-08
59	59	60	-5.51733e-09	-6.72587e-08
60	60	61	-5.51733e-09	-6.72587e-08
61	61	62	-5.51733e-09	-6.72587e-08
62	62	63	-5.51733e-09	-6.72587e-08
63	63	64	-5.51733e-09	-6.72587e-08
64	64	65	-5.51733e-09	-6.72587e-08
65	65	66	-5.51733e-09	-6.72587e-08
66	66	67	-5.51733e-09	-6.72587e-08
67	67	68	-5.51733e-09	-6.72587e-08
68	68	69	-5.51733e-09	-6.72587e-08
69	69	70	-5.51733e-09	-6.72587e-08
70	70	71	-5.51733e-09	-6.72587e-08
71	71	72	-5.51733e-09	-6.72587e-08
72	72	73	-5.51733e-09	-6.72587e-08
73	73	74	-5.51733e-09	-6.72587e-08
74	74	75	-5.51733e-09	-6.72587e-08
75	75	76	-5.51733e-09	-6.72587e-08
76	76	77	-5.51733e-09	-6.72587e-08
77	77	78	-5.51733e-09	-6.72587e-08
78	78	79	-5.51733e-09	-6.72587e-08
79	79	80	-5.51733e-09	-6.72587e-08
80	80	81	-5.51733e-09	-6.72587e-08
81	81	82	-5.51733e-09	-6.72587e-08
82	82	83	-5.51733e-09	-6.72587e-08
83	83	84	-5.51733e-09	-6.72587e-08
84	84	85	-5.51733e-09	-6.72587e-08
85	85	86	-5.51733e-09	-6.72587e-08
86	86	87	-5.51733e-09	-6.72587e-08
87	87	88	-5.51733e-09	-6.72587e-08
88	88	89	-5.51733e-09	-6.72587e-08
89	89	90	-5.51733e-09	-6.72587e-08
90	90	91	-5.51733e-09	-6.72587e-08
91	91	92	-5.51733e-09	-6.72587e-08
92	92	93	-5.51733e-09	-6.72587e-08
93	93	94	-5.51733e-09	-6.72587e-08
94	94	95	-5.51733e-09	-6.72587e-08
95	95	96	-5.51733e-09	-6.72587e-08
96	96	97	-5.51733e-09	-6.72587e-08
97	97	98	-5.51733e-09	-6.72587e-08
98	98	99	-5.51733e-09	-6.72587e-08
