cell	x	y	z	vx_w	vy_w	vz_w	vx_napl	vy_napl	vz_napl
0	0.5	0.5	0.005	0	0	-5.51733e-09	0	0	-6.72587e-08
1	0.5	0.5	0.015	0	0	-5.51733e-09	0	0	-6.72587e-08
2	0.5	0.5	0.025	0	0	-5.51733e-09	0	0	-6.72587e-08
3	0.5	0.5	0.035	0	0	-5.51733e-09	0	0	-6.72587e-08
4	0.5	0.5	0.045	0	0	-5.51733e-09	0	0	-6.72587e-08
5	0.5	0.5	0.055	0	0	-5.51733e-09	0	0	-6.72587e-08
6	0.5	0.5	0.065	0	0	-5.51733e-09	0	0	-6.72587e-08
7	0.5	0.5	0.075	0	0	-5.51733e-09	0	0	-6.72587e-08
8	0.5	0.5	0.085	0	0	-5.51733e-09	0	0	-6.72587e-08
9	0.5	0.5	0.095	0	0	-5.51733e-09	0	0	-6.72587e-08
10	0.5	0.5	0.105	0	0	-5.51733e-09	0	0	-6.72587e-08
11	0.5	0.5	0.115	0	0	-5.51733e-09	0	0	-6.72587e-08
12	0.5	0.5	0.125	0	0	-5.51733e-09	0	0	-6.72587e-08
13	0.5	0.5	0.135	0	0	-5.51733e-09	0	0	-6.72587e-08
14	0.5	0.5	0.145	0	0	-5.51733e-09	0	0	-6.72587e-08
15	0.5	0.5	0.155	0	0	-5.51733e-09	0	0	-6.72587e-08
16	0.5	0.5	0.165	0	0	-5.51733e-09	0	0	-6.72587e-08
17	0.5	0.5	0.175	0	0	-5.51733e-09	0	0	-6.72587e-08
18	0.5	0.5	0.185	0	0	-5.51733e-09	0	0	-6.72587e-08
19	0.5	0.5	0.195	0	0	-5.51733e-09	0	0	-6.72587e-08
20	0.5	0.5	0.205	0	0	-5.51733e-09	0	0	-6.72587e-08
21	0.5	0.5	0.215	0	0	-5.51733e-09	0	0	-6.72587e-08
22	0.5	0.5	0.225	0	0	-5.51733e-09	0	0	-6.72587e-08
23	0.5	0.5	0.235	0	0	-5.51733e-09	0	0	-6.72587e-08
24	0.5	0.5	0.245	0	0	-5.51733e-09	0	0	-6.72587e-08
25	0.5	0.5	0.255	0	0	-5.51733e-09	0	0	-6.72587e-08
26	0.5	0.5	0.265	0	0	-5.51733e-09	0	0	-6.72587e-08
27	0.5	0.5	0.275	0	0	-5.51733e-09	0	0	-6.72587e-08
28	0.5	0.5	0.285	0	0	-5.51733e-09	0	0	-6.72587e-08
29	0.5	0.5	0.295	0	0	-5.51733e-09	0	0	-6.72587e-08
30	0.5	0.5	0.305	0	0	-5.51733e-09	0	0	-6.72587e-08
31	0.5	0.5	0.315	0	0	-5.51733e-09	0	0	-6.72587e-08
32	0.5	0.5	0.325	0	0	-5.51733e-09	0	0	-6.72587e-08
33	0.5	0.5	0.335	0	0	-5.51733e-09	0	0	-6.72587e-08
34	0.5	0.5	0.345	0	0	-5.51733e-09	0	0	-6.72587e-08
