cell	x	y	z	Sw	Sn	P	dSdP
0	0.5	0.5	0.005	0.338349	0.502352	-829.219	0.00050566
1	0.5	0.5	0.015	0.31519	0.504903	-904	0.000503599
2	0.5	0.5	0.025	0.308096	0.491209	-981.829	0.000496558
3	0.5	0.5	0.035	0.306058	0.474748	-1053.1	0.000487098
4	0.5	0.5	0.045	0.306722	0.455841	-1125.88	0.000475233
5	0.5	0.5	0.055	0.307775	0.437841	-1195.93	0.000462385
6	0.5	0.5	0.065	0.30776	0.421708	-1264.74	0.00044892
7	0.5	0.5	0.075	0.307478	0.406976	-1330.92	0.000435448
8	0.5	0.5	0.085	0.307091	0.393591	-1393.75	0.000422396
9	0.5	0.5	0.095	0.306634	0.381518	-1452.85	0.000410029
10	0.5	0.5	0.105	0.306126	0.370676	-1508.15	0.000398482
11	0.5	0.5	0.115	0.30559	0.361002	-1559.41	0.000387858
12	0.5	0.5	0.125	0.305042	0.352433	-1606.48	0.00037821
13	0.5	0.5	0.135	0.304499	0.344889	-1649.34	0.000369543
14	0.5	0.5	0.145	0.303975	0.338285	-1688.01	0.00036183
15	0.5	0.5	0.155	0.303479	0.332536	-1722.61	0.000355026
16	0.5	0.5	0.165	0.30302	0.327556	-1753.33	0.000349068
17	0.5	0.5	0.175	0.302602	0.323262	-1780.38	0.000343887
18	0.5	0.5	0.185	0.302226	0.319575	-1804.05	0.000339407
19	0.5	0.5	0.195	0.301892	0.316423	-1824.63	0.000335554
20	0.5	0.5	0.205	0.301599	0.313738	-1842.41	0.000332257
21	0.5	0.5	0.215	0.301344	0.311456	-1857.69	0.000329446
22	0.5	0.5	0.225	0.301124	0.309525	-1870.76	0.000327058
23	0.5	0.5	0.235	0.300936	0.307893	-1881.9	0.000325037
24	0.5	0.5	0.245	0.300776	0.306517	-1891.36	0.000323331
25	0.5	0.5	0.255	0.300641	0.305359	-1899.36	0.000321893
26	0.5	0.5	0.265	0.300527	0.304384	-1906.13	0.000320682
27	0.5	0.5	0.275	0.300431	0.303565	-1911.83	0.000319665
28	0.5	0.5	0.285	0.300351	0.302876	-1916.65	0.000318808
29	0.5	0.5	0.295	0.300285	0.302295	-1920.72	0.000318087
30	0.5	0.5	0.305	0.300229	0.301804	-1924.16	0.000317477
31	0.5	0.5	0.315	0.300183	0.301386	-1927.09	0.000316959
32	0.5	0.5	0.325	0.300144	0.301027	-1929.6	0.000316516
33	0.5	0.5	0.335	0.300112	0.300716	-1931.78	0.000316134
34	0.5	0.5	0.345	0.300085	0.300443	-1933.68	0.000315798
35	0.5	0.5	0.355	0.300063	0.300199	-1935.38	0.0003155
36	0.5	0.5	0.365	0.300044	0.299977	-1936.92	0.000315229
37	0.5	0.5	0.375	0.300027	0.299769	-1938.36	0.000314977
38	0.5	0.5	0.385	0.300013	0.299571	-1939.72	0.000314738
39	0.5	0.5	0.395	0.3	0.299376	-1941.05	0.000314505
40	0.5	0.5	0.405	0.299988	0.299181	-1942.38	0.000314272
41	0.5	0.5	0.415	0.299978	0.298982	-1943.73	0.000314036
42	0.5	0.5	0.425	0.299967	0.298776	-1945.14	0.000313791
43	0.5	0.5	0.435	0.299957	0.298557	-1946.62	0.000313533
44	0.5	0.5	0.445	0.299947	0.298325	-1948.19	0.000313259
45	0.5	0.5	0.455	0.299937	0.298075	-1949.88	0.000312965
46	0.5	0.5	0.465	0.299927	0.297805	-1951.7	0.000312648
47	0.5	0.5	0.475	0.299916	0.297513	-1953.68	0.000312304
48	0.5	0.5	0.485	0.299904	0.297195	-1955.82	0.000311931
49	0.5	0.5	0.495	0.299892	0.29685	-1958.16	0.000311526
50	0.5	0.5	0.505	0.299879	0.296474	-1960.7	0.000311086
51	0.5	0.5	0.515	0.299865	0.296066	-1963.47	0.000310607
52	0.5	0.5	0.525	0.29985	0.295623	-1966.49	0.000310088
53	0.5	0.5	0.535	0.299834	0.295142	-1969.76	0.000309524
54	0.5	0.5	0.545	0.299816	0.294622	-1973.31	0.000308914
55	0.5	0.5	0.555	0.299797	0.294059	-1977.16	0.000308254
56	0.5	0.5	0.565	0.299776	0.293451	-1981.32	0.000307541
57	0.5	0.5	0.575	0.299754	0.292797	-1985.82	0.000306774
58	0.5	0.5	0.585	0.29973	0.292093	-1990.67	0.000305948
59	0.5	0.5	0.595	0.299704	0.291337	-1995.9	0.000305061
60	0.5	0.5	0.605	0.299676	0.290528	-2001.53	0.000304109
61	0.5	0.5	0.615	0.299645	0.289661	-2007.57	0.000303091
62	0.5	0.5	0.625	0.299613	0.288735	-2014.05	0.000302003
63	0.5	0.5	0.635	0.299577	0.287748	-2021	0.000300842
64	0.5	0.5	0.645	0.299539	0.286697	-2028.43	0.000299605
65	0.5	0.5	0.655	0.299498	0.28558	-2036.37	0.000298289
66	0.5	0.5	0.665	0.299453	0.284394	-2044.85	0.000296892
67	0.5	0.5	0.675	0.299404	0.283137	-2053.89	0.000295409
68	0.5	0.5	0.685	0.299352	0.281806	-2063.53	0.000293839
69	0.5	0.5	0.695	0.299295	0.2804	-2073.79	0.000292177
70	0.5	0.5	0.705	0.299233	0.278915	-2084.7	0.000290421
71	0.5	0.5	0.715	0.299166	0.277349	-2096.3	0.000288567
72	0.5	0.5	0.725	0.299092	0.275699	-2108.62	0.000286613
73	0.5	0.5	0.735	0.299013	0.273964	-2121.71	0.000284555
74	0.5	0.5	0.745	0.298925	0.272141	-2135.59	0.000282389
75	0.5	0.5	0.755	0.29883	0.270226	-2150.32	0.000280113
76	0.5	0.5	0.765	0.298725	0.268218	-2165.95	0.000277721
77	0.5	0.5	0.775	0.29861	0.266114	-2182.52	0.000275212
78	0.5	0.5	0.785	0.298483	0.263912	-2200.09	0.00027258
79	0.5	0.5	0.795	0.298343	0.261607	-2218.71	0.000269822
80	0.5	0.5	0.805	0.298187	0.259199	-2238.47	0.000266934
81	0.5	0.5	0.815	0.298015	0.256683	-2259.42	0.000263912
82	0.5	0.5	0.825	0.297823	0.254058	-2281.65	0.00026075
83	0.5	0.5	0.835	0.297609	0.251319	-2305.25	0.000257444
84	0.5	0.5	0.845	0.29737	0.248465	-2330.31	0.000253989
85	0.5	0.5	0.855	0.2971	0.245493	-2356.94	0.00025038
86	0.5	0.5	0.865	0.296796	0.2424	-2385.26	0.00024661
87	0.5	0.5	0.875	0.296452	0.239182	-2415.41	0.000242674
88	0.5	0.5	0.885	0.296062	0.235838	-2447.54	0.000238566
89	0.5	0.5	0.895	0.295617	0.232365	-2481.82	0.000234277
90	0.5	0.5	0.905	0.29511	0.228759	-2518.45	0.0002298
91	0.5	0.5	0.915	0.294536	0.225013	-2557.64	0.000225128
92	0.5	0.5	0.925	0.293888	0.221124	-2599.66	0.000220252
93	0.5	0.5	0.935	0.293144	0.217091	-2644.79	0.000215162
94	0.5	0.5	0.945	0.292251	0.212938	-2693.36	0.000209843
95	0.5	0.5	0.955	0.291114	0.208713	-2745.78	0.000204276
96	0.5	0.5	0.965	0.289574	0.204498	-2802.48	0.000198433
97	0.5	0.5	0.975	0.287203	0.200549	-2863.98	0.000192256
98	0.5	0.5	0.985	0.282466	0.197821	-2930.8	0.000185557
99	0.5	0.5	0.995	0.270276	0.199536	-3003.36	0.000177724
