cell	x	y	z	vx_w	vy_w	vz_w	vx_napl	vy_napl	vz_napl
0	0.5	0.5	0.005	0	0	-1.90407e-09	0	0	-2.24288e-08
1	0.5	0.5	0.015	0	0	-1.65e-09	0	0	-1.28671e-08
2	0.5	0.5	0.025	0	0	-1.57676e-09	0	0	-1.80543e-08
3	0.5	0.5	0.035	0	0	-1.72173e-09	0	0	-2.75163e-08
4	0.5	0.5	0.045	0	0	-1.80184e-09	0	0	-2.53551e-08
5	0.5	0.5	0.055	0	0	-1.95955e-09	0	0	-2.84407e-08
6	0.5	0.5	0.065	0	0	-2.08374e-09	0	0	-3.00453e-08
7	0.5	0.5	0.075	0	0	-2.26858e-09	0	0	-3.36803e-08
8	0.5	0.5	0.085	0	0	-2.48146e-09	0	0	-3.75416e-08
9	0.5	0.5	0.095	0	0	-2.70113e-09	0	0	-4.09521e-08
10	0.5	0.5	0.105	0	0	-2.92234e-09	0	0	-4.39083e-08
11	0.5	0.5	0.115	0	0	-3.14753e-09	0	0	-4.66363e-08
12	0.5	0.5	0.125	0	0	-3.37192e-09	0	0	-4.91326e-08
13	0.5	0.5	0.135	0	0	-3.59054e-09	0	0	-5.13821e-08
14	0.5	0.5	0.145	0	0	-3.80005e-09	0	0	-5.33997e-08
15	0.5	0.5	0.155	0	0	-3.99785e-09	0	0	-5.52021e-08
16	0.5	0.5	0.165	0	0	-4.18186e-09	0	0	-5.6802e-08
17	0.5	0.5	0.175	0	0	-4.35077e-09	0	0	-5.82134e-08
18	0.5	0.5	0.185	0	0	-4.504e-09	0	0	-5.94523e-08
19	0.5	0.5	0.195	0	0	-4.64157e-09	0	0	-6.05345e-08
20	0.5	0.5	0.205	0	0	-4.7639e-09	0	0	-6.14753e-08
21	0.5	0.5	0.215	0	0	-4.87174e-09	0	0	-6.22891e-08
22	0.5	0.5	0.225	0	0	-4.96607e-09	0	0	-6.29894e-08
23	0.5	0.5	0.235	0	0	-5.04798e-09	0	0	-6.35885e-08
24	0.5	0.5	0.245	0	0	-5.11861e-09	0	0	-6.40978e-08
25	0.5	0.5	0.255	0	0	-5.17913e-09	0	0	-6.45274e-08
26	0.5	0.5	0.265	0	0	-5.23065e-09	0	0	-6.48863e-08
27	0.5	0.5	0.275	0	0	-5.27421e-09	0	0	-6.51827e-08
28	0.5	0.5	0.285	0	0	-5.3108e-09	0	0	-6.54233e-08
29	0.5	0.5	0.295	0	0	-5.34127e-09	0	0	-6.56144e-08
30	0.5	0.5	0.305	0	0	-5.36642e-09	0	0	-6.57609e-08
31	0.5	0.5	0.315	0	0	-5.38694e-09	0	0	-6.58672e-08
32	0.5	0.5	0.325	0	0	-5.40343e-09	0	0	-6.59371e-08
33	0.5	0.5	0.335	0	0	-5.41642e-09	0	0	-6.59733e-08
34	0.5	0.5	0.345	0	0	-5.42636e-09	0	0	-6.59783e-08
35	0.5	0.5	0.355	0	0	-5.43362e-09	0	0	-6.59539e-08
36	0.5	0.5	0.365	0	0	-5.43854e-09	0	0	-6.59016e-08
37	0.5	0.5	0.375	0	0	-5.44138e-09	0	0	-6.58222e-08
38	0.5	0.5	0.385	0	0	-5.44237e-09	0	0	-6.57163e-08
39	0.5	0.5	0.395	0	0	-5.44169e-09	0	0	-6.55843e-08
40	0.5	0.5	0.405	0	0	-5.43949e-09	0	0	-6.54261e-08
41	0.5	0.5	0.415	0	0	-5.43589e-09	0	0	-6.52414e-08
42	0.5	0.5	0.425	0	0	-5.43099e-09	0	0	-6.50299e-08
43	0.5	0.5	0.435	0	0	-5.42485e-09	0	0	-6.47907e-08
44	0.5	0.5	0.445	0	0	-5.41754e-09	0	0	-6.45232e-08
45	0.5	0.5	0.455	0	0	-5.40908e-09	0	0	-6.42265e-08
46	0.5	0.5	0.465	0	0	-5.3995e-09	0	0	-6.38994e-08
47	0.5	0.5	0.475	0	0	-5.38882e-09	0	0	-6.3541e-08
48	0.5	0.5	0.485	0	0	-5.37704e-09	0	0	-6.31502e-08
49	0.5	0.5	0.495	0	0	-5.36416e-09	0	0	-6.27256e-08
50	0.5	0.5	0.505	0	0	-5.35017e-09	0	0	-6.22663e-08
51	0.5	0.5	0.515	0	0	-5.33505e-09	0	0	-6.17711e-08
52	0.5	0.5	0.525	0	0	-5.31878e-09	0	0	-6.12388e-08
53	0.5	0.5	0.535	0	0	-5.30135e-09	0	0	-6.06684e-08
54	0.5	0.5	0.545	0	0	-5.28272e-09	0	0	-6.00589e-08
55	0.5	0.5	0.555	0	0	-5.26286e-09	0	0	-5.94094e-08
56	0.5	0.5	0.565	0	0	-5.24174e-09	0	0	-5.87189e-08
57	0.5	0.5	0.575	0	0	-5.21932e-09	0	0	-5.79868e-08
58	0.5	0.5	0.585	0	0	-5.19555e-09	0	0	-5.72125e-08
59	0.5	0.5	0.595	0	0	-5.17041e-09	0	0	-5.63953e-08
60	0.5	0.5	0.605	0	0	-5.14382e-09	0	0	-5.55349e-08
61	0.5	0.5	0.615	0	0	-5.11575e-09	0	0	-5.46311e-08
62	0.5	0.5	0.625	0	0	-5.08613e-09	0	0	-5.36836e-08
63	0.5	0.5	0.635	0	0	-5.05489e-09	0	0	-5.26925e-08
64	0.5	0.5	0.645	0	0	-5.02197e-09	0	0	-5.16581e-08
65	0.5	0.5	0.655	0	0	-4.98729e-09	0	0	-5.05804e-08
66	0.5	0.5	0.665	0	0	-4.95075e-09	0	0	-4.94601e-08
67	0.5	0.5	0.675	0	0	-4.91226e-09	0	0	-4.82976e-08
68	0.5	0.5	0.685	0	0	-4.87172e-09	0	0	-4.70938e-08
69	0.5	0.5	0.695	0	0	-4.82899e-09	0	0	-4.58496e-08
70	0.5	0.5	0.705	0	0	-4.78394e-09	0	0	-4.45659e-08
71	0.5	0.5	0.715	0	0	-4.73642e-09	0	0	-4.3244e-08
72	0.5	0.5	0.725	0	0	-4.68627e-09	0	0	-4.18852e-08
73	0.5	0.5	0.735	0	0	-4.63329e-09	0	0	-4.04911e-08
74	0.5	0.5	0.745	0	0	-4.57727e-09	0	0	-3.90631e-08
75	0.5	0.5	0.755	0	0	-4.51798e-09	0	0	-3.76033e-08
76	0.5	0.5	0.765	0	0	-4.45515e-09	0	0	-3.61133e-08
77	0.5	0.5	0.775	0	0	-4.38848e-09	0	0	-3.45954e-08
78	0.5	0.5	0.785	0	0	-4.31764e-09	0	0	-3.30518e-08
79	0.5	0.5	0.795	0	0	-4.24226e-09	0	0	-3.14847e-08
80	0.5	0.5	0.805	0	0	-4.16193e-09	0	0	-2.98968e-08
81	0.5	0.5	0.815	0	0	-4.07619e-09	0	0	-2.82906e-08
82	0.5	0.5	0.825	0	0	-3.98453e-09	0	0	-2.6669e-08
83	0.5	0.5	0.835	0	0	-3.88638e-09	0	0	-2.50349e-08
84	0.5	0.5	0.845	0	0	-3.78109e-09	0	0	-2.33915e-08
85	0.5	0.5	0.855	0	0	-3.66793e-09	0	0	-2.1742e-08
86	0.5	0.5	0.865	0	0	-3.54613e-09	0	0	-2.00901e-08
87	0.5	0.5	0.875	0	0	-3.41481e-09	0	0	-1.84392e-08
88	0.5	0.5	0.885	0	0	-3.27307e-09	0	0	-1.67932e-08
89	0.5	0.5	0.895	0	0	-3.12001e-09	0	0	-1.51561e-08
90	0.5	0.5	0.905	0	0	-2.95486e-09	0	0	-1.35318e-08
91	0.5	0.5	0.915	0	0	-2.77689e-09	0	0	-1.19247e-08
92	0.5	0.5	0.925	0	0	-2.58488e-09	0	0	-1.03393e-08
93	0.5	0.5	0.935	0	0	-2.37642e-09	0	0	-8.78129e-09
94	0.5	0.5	0.945	0	0	-2.14776e-09	0	0	-7.25742e-09
95	0.5	0.5	0.955	0	0	-1.89446e-09	0	0	-5.77504e-09
96	0.5	0.5	0.965	0	0	-1.60912e-09	0	0	-4.34389e-09
97	0.5	0.5	0.975	0	0	-1.27209e-09	0	0	-2.98162e-09
98	0.5	0.5	0.985	0	0	-8.49111e-10	0	0	-1.71673e-09
99	0.5	0.5	0.995	0	0	-6.11208e-10	0	0	-1.11283e-09
