verification test														
														
liquids	density	viscosity	beta(n_w)	beta(n_a)										
water	1000	0.00089	1	1										
NAPL	800	0.00267	3.6	2.4										
														
column														
span	1				K =	1	m/day							
n_cells	50					1.15741E-05	m/sec							
cross-section_area	1													
														
cells	S_w	S_n	z	phi	k(L^2)	alpha(1/P)	n	rs_w	rs_n	Overt_sat_pt_1	Ss_pt_1	Overt_sat_pt_2	Ss_pt_2	vol
1	0.3	0.3	0.990	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
2	0.3	0.3	0.970	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
3	0.3	0.3	0.950	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
4	0.3	0.3	0.930	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
5	0.3	0.3	0.910	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
6	0.3	0.3	0.890	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
7	0.3	0.3	0.870	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
8	0.3	0.3	0.850	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
9	0.3	0.3	0.830	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
10	0.3	0.3	0.810	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
11	0.3	0.3	0.790	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
12	0.3	0.3	0.770	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
13	0.3	0.3	0.750	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
14	0.3	0.3	0.730	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
15	0.3	0.3	0.710	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
16	0.3	0.3	0.690	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
17	0.3	0.3	0.670	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
18	0.3	0.3	0.650	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
19	0.3	0.3	0.630	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
20	0.3	0.3	0.610	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
21	0.3	0.3	0.590	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
22	0.3	0.3	0.570	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
23	0.3	0.3	0.550	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
24	0.3	0.3	0.530	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
25	0.3	0.3	0.510	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
26	0.3	0.3	0.490	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
27	0.3	0.3	0.470	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
28	0.3	0.3	0.450	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
29	0.3	0.3	0.430	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
30	0.3	0.3	0.410	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
31	0.3	0.3	0.390	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
32	0.3	0.3	0.370	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
33	0.3	0.3	0.350	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
34	0.3	0.3	0.330	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
35	0.3	0.3	0.310	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
36	0.3	0.3	0.290	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
37	0.3	0.3	0.270	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
38	0.3	0.3	0.250	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
39	0.3	0.3	0.230	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
40	0.3	0.3	0.210	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
41	0.3	0.3	0.190	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
42	0.3	0.3	0.170	0.3	1.05036E-12	0.0003	2.5	0.15	0	1.00E-04	0.1	1.00E-02	1.00E-03	0.02
