z	P	S_w	S_n	Q_w	Q_n
0.99	-1936.99013808	0.3	0.3	0.0	0.0
0.97	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.95	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.93	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.91	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.89	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.87	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.85	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.83	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.81	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.79	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.77	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.75	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.73	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.71	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.69	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.67	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.65	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.63	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.61	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.59	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.57	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.55	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.53	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.51	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.49	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.47	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.45	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.43	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.41	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.39	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.37	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.35	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.33	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.31	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.29	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.27	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.25	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.23	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.21	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.19	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.17	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.15	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.13	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.11	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.09	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.07	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.05	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.03	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
0.01	-1936.99013808	0.3	0.3	5.51922645592e-09	6.72818002352e-08
