z	P	S_w	S_n	Q_w	Q_n
0.99	-7386.83972492	0.388581455028	0.0	0.0	0.0
0.97	-7212.69331739	0.396183307206	0.0	3.76914140312e-09	-0.0
0.95	-7056.33024146	0.403327507708	0.0	7.70956275666e-09	0.0
0.93	-6914.60255331	0.410077707563	0.0	1.18007696911e-08	0.0
0.91	-6785.08932672	0.416485800895	0.0	1.60248051512e-08	0.0
0.89	-6665.88196084	0.42259528048	0.0	2.03654228523e-08	0.0
0.87	-6555.44110201	0.428443610694	0.0	2.48074696393e-08	0.0
0.85	-6452.49787295	0.434063985195	0.0	2.93363936591e-08	0.0
0.83	-6355.98345241	0.439486692583	0.0	3.39378275313e-08	0.0
0.81	-6264.97730059	0.444740232001	0.0	3.85972138562e-08	0.0
0.79	-6178.66792599	0.449852272802	0.0	4.32994512167e-08	0.0
0.77	-6096.32224678	0.454850523039	0.0	4.80285457519e-08	0.0
0.75	-6017.26094538	0.459763552542	0.0	5.27672582759e-08	0.0
0.73	-5940.83809043	0.464621603214	0.0	5.74967409018e-08	0.0
0.71	-5866.42390208	0.46945740898	0.0	6.21961609625e-08	0.0
0.69	-5793.38997949	0.474307038728	0.0	6.68423142253e-08	0.0
0.67	-5721.09666426	0.479210766154	0.0	7.14092344451e-08	0.0
0.65	-5648.88252342	0.484213959456	0.0	7.58678125193e-08	0.0
0.63	-5576.05622361	0.489367970523	0.0	8.01854461483e-08	0.0
0.61	-5501.8913402	0.494730986922	0.0	8.43257499697e-08	0.0
0.59	-5425.62488877	0.500368790525	0.0	8.82483662934e-08	0.0
0.57	-5346.46054666	0.506355344736	0.0	9.19089269214e-08	0.0
0.55	-5263.57759286	0.512773109877	0.0	9.52592254417e-08	0.0
0.53	-5176.14645706	0.519712966827	0.0	9.82476642646e-08	0.0
0.51	-5083.35135086	0.527273617638	0.0	1.00820038078e-07	0.0
0.49	-4984.4196948	0.535560335043	0.0	1.02920701458e-07	0.0
0.47	-4878.65695775	0.544682956785	0.0	1.04494139756e-07	0.0
0.45	-4765.48420872	0.554753069365	0.0	1.05486918106e-07	0.0
0.43	-4644.47440475	0.565880397167	0.0	1.05849926602e-07	0.0
0.41	-4515.38258339	0.578168496766	0.0	1.0554077964e-07	0.0
0.39	-4378.16509816	0.591709933545	0.0	1.04526178828e-07	0.0
0.37	-4232.98408985	0.606581165065	0.0	1.02784029269e-07	0.0
0.35	-4080.19547832	0.622837353506	0.0	1.00305122271e-07	0.0
0.33	-3920.32146033	0.640507272979	0.0	9.70942665496e-08	-0.0
0.31	-3754.01110723	0.659588383746	0.0	9.31708520183e-08	-0.0
0.29	-3581.99445442	0.680042052347	0.0	8.85689381821e-08	-0.0
0.27	-3405.03601764	0.701788852999	0.0	8.33370397891e-08	-0.0
0.25	-3223.89294898	0.724703935006	0.0	7.75378081206e-08	-0.0
0.23	-3039.28143793	0.748612607008	0.0	7.12477644898e-08	-0.0
0.21	-2851.85303473	0.773286566842	0.0	6.45571385096e-08	-0.0
0.19	-2662.18083644	0.798441558026	0.0	5.75697178591e-08	-0.0
0.17	-2470.75424518	0.823737589447	0.0	5.04024585336e-08	-0.0
0.15	-2277.98036311	0.84878310997	0.0	4.31844701721e-08	-0.0
0.13	-2084.18994644	0.873144555652	0.0	3.60549183404e-08	-0.0
0.11	-1889.6460364	0.896362354348	0.0	2.91594127535e-08	-0.0
0.09	-1694.55375501	0.917973698838	0.0	2.26446070641e-08	-0.0
0.07	-1499.07016803	0.9375412188	0.0	1.66510278755e-08	-0.0
0.05	-1303.31349912	0.954685303484	0.0	1.13045412629e-08	-0.0
0.03	-1107.37128969	0.96911664563	0.0	6.70726379022e-09	-0.0
0.01	-911.307329073	0.98066509632	0.0	2.92899885559e-09	-0.0
